url,name,birthday,congress_term,total_bills
https://www.congress.gov/member/douglas-bosco/B000648,Representative Douglas H. Bosco,(1946 - ),In Congress 1983 - 1991,1253
https://www.congress.gov/member/mike-bost/B001295,Representative Mike Bost,(1960 - ),In Congress 2015 - Present |,730
https://www.congress.gov/member/leonard-boswell/B000652,Representative Leonard L. Boswell,(1934 - 2018),In Congress 1997 - 2013,2378
https://www.congress.gov/member/rick-boucher/B000657,Representative Rick Boucher,(1946 - ),In Congress 1983 - 2011,4354
https://www.congress.gov/member/e-boulter/B000666,Representative Beau Boulter,(1942 - ),In Congress 1985 - 1989,486
https://www.congress.gov/member/charles-boustany/B001255,"Representative Charles W. Boustany, Jr.",(1956 - ),In Congress 2005 - 2017,1747
https://www.congress.gov/member/david-bowen/B000682,Representative David R. Bowen,(1932 - ),In Congress 1973 - 1983,1033
https://www.congress.gov/member/barbara-boxer/B000711,Senator Barbara Boxer,(1940 - ),In Congress 1983 - 2017,10305
https://www.congress.gov/member/allen-boyd/B000716,Representative Allen Boyd,(1945 - ),In Congress 1997 - 2011,1229
https://www.congress.gov/member/nancy-boyda/B001258,Representative Nancy E. Boyda,(1955 - ),In Congress 2007 - 2009,477
https://www.congress.gov/member/brendan-boyle/B001296,Representative Brendan F. Boyle,(1977 - ),In Congress 2015 - Present |,1342
https://www.congress.gov/member/john-brademas/B000736,Representative John Brademas,(1927 - 2016),In Congress 1959 - 1981,691
https://www.congress.gov/member/william-bradley/B001225,Senator Bill Bradley,(1943 - ),In Congress 1979 - 1997,3315
https://www.congress.gov/member/jeb-bradley/B001246,Representative Jeb Bradley,(1952 - ),In Congress 2003 - 2007,539
https://www.congress.gov/member/kevin-brady/B000755,Representative Kevin Brady,(1955 - ),In Congress 1997 - Present |,2246
https://www.congress.gov/member/nicholas-brady/B000756,Senator Nicholas Brady,(1930 - ),In Congress 1981 - 1983,23
https://www.congress.gov/member/robert-brady/B001227,Representative Robert A. Brady,(1945 - ),In Congress 1997 - 2019,4127
https://www.congress.gov/member/bruce-braley/B001259,Representative Bruce L. Braley,(1957 - ),In Congress 2007 - 2015,1584
https://www.congress.gov/member/frank-brasco/B000771,Representative Frank Brasco,(1932 - 1998),In Congress 1967 - 1975,281
https://www.congress.gov/member/dave-brat/B001290,Representative Dave Brat,(1964 - ),In Congress 2014 - 2019,533
https://www.congress.gov/member/mike-braun/B001310,Senator Mike  Braun,(1954 - ),In Congress 2019 - Present |,481
https://www.congress.gov/member/william-bray/B000778,Representative William G. Bray,(1903 - 1979),In Congress 1951 - 1975,77
